,precision,recall,f1-score,support
cats,0.9298245614035088,0.954,0.9417571569595261,2000.0
dogs,0.9527720739219713,0.928,0.9402228976697061,2000.0
accuracy,0.941,0.941,0.941,0.941
macro avg,0.9412983176627401,0.9410000000000001,0.9409900273146161,4000.0
weighted avg,0.9412983176627401,0.941,0.9409900273146161,4000.0
