epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6178125143051147,0.6627107858657837,0.0003000000142492354,0.7303313612937927,0.6194196343421936,0.6079812049865723,0.49937498569488525,0.695983350276947,1.5265650749206543,0.7222222089767456,0.008074534125626087
1,0.6732031106948853,0.7333627939224243,0.0003000000142492354,0.6401665210723877,0.6759687662124634,0.6633802652359009,0.6875,0.7603026032447815,0.6330357193946838,0.6857491135597229,0.6993789076805115
2,0.7077343463897705,0.784717321395874,0.0003000000142492354,0.573824405670166,0.710605800151825,0.6993740200996399,0.7315624952316284,0.8080779314041138,0.5396522283554077,0.7305095195770264,0.739130437374115
3,0.7485156059265137,0.8266899585723877,0.0003000000142492354,0.5189992785453796,0.7496457099914551,0.7450703978538513,0.754687488079071,0.8376965522766113,0.5566216111183167,0.7163083553314209,0.8484472036361694
4,0.7707812786102295,0.857068657875061,0.0003000000142492354,0.4728544354438782,0.7704225182533264,0.7704225182533264,0.6918749809265137,0.8304885029792786,0.6688439846038818,0.8627907037734985,0.46086955070495605
5,0.803515613079071,0.884699821472168,0.0003000000142492354,0.4302789568901062,0.801181435585022,0.8065727949142456,0.7459375262260437,0.8698592185974121,0.5322695374488831,0.8828049898147583,0.5708074569702148
6,0.8204687237739563,0.9031922817230225,0.0003000000142492354,0.39439183473587036,0.8185923099517822,0.8226916790008545,0.801562488079071,0.9152226448059082,0.4463886618614197,0.91989666223526,0.6633540391921997
7,0.841015636920929,0.9216055274009705,0.0003000000142492354,0.35599902272224426,0.8356713652610779,0.8483567833900452,0.8368750214576721,0.9278358817100525,0.36930394172668457,0.8936324119567871,0.7670807242393494
8,0.8561718463897705,0.9331923127174377,0.0003000000142492354,0.3299703598022461,0.851926326751709,0.8616588711738586,0.839062511920929,0.938637912273407,0.3725610673427582,0.9328063130378723,0.7329192757606506
9,0.8642968535423279,0.940163254737854,0.0003000000142492354,0.3116416335105896,0.8590831756591797,0.8710485100746155,0.7900000214576721,0.9038721919059753,0.4619753658771515,0.883169949054718,0.6714285612106323
10,0.870312511920929,0.9452463984489441,0.0003000000142492354,0.29904818534851074,0.867692768573761,0.8733959197998047,0.8440625071525574,0.9385020136833191,0.35324299335479736,0.7934495806694031,0.9329192638397217
11,0.8837500214576721,0.9530020952224731,0.0003000000142492354,0.2774582505226135,0.8813005685806274,0.886541485786438,0.8768749833106995,0.9505484700202942,0.28391847014427185,0.8771712183952332,0.8782608509063721
12,0.8892968893051147,0.9576559066772461,0.0003000000142492354,0.2634992003440857,0.8873656392097473,0.8913928270339966,0.887499988079071,0.9587679505348206,0.26065006852149963,0.8783292770385742,0.9012422561645508
13,0.8931249976158142,0.9593346118927002,0.0003000000142492354,0.25804680585861206,0.8925890922546387,0.8934272527694702,0.8884375095367432,0.9613935947418213,0.25350943207740784,0.8670181632041931,0.9192546606063843
14,0.8949999809265137,0.9617560505867004,0.0003000000142492354,0.2501704692840576,0.8911628127098083,0.8995305299758911,0.8531249761581421,0.9612035155296326,0.35667550563812256,0.7841475605964661,0.9770186543464661
15,0.9028124809265137,0.966061532497406,0.0003000000142492354,0.23525790870189667,0.8990384340286255,0.9071987271308899,0.8728125095367432,0.9475041627883911,0.29646360874176025,0.8975545167922974,0.843478262424469
16,0.90625,0.9687325954437256,0.0003000000142492354,0.22589491307735443,0.9055954813957214,0.9067292809486389,0.9078124761581421,0.9699995517730713,0.22273492813110352,0.9061148762702942,0.9111801385879517
17,0.9060156345367432,0.9689812064170837,0.0003000000142492354,0.22547894716262817,0.9047916531562805,0.9071987271308899,0.9112499952316284,0.9751453399658203,0.2053072303533554,0.8960573673248291,0.9316770434379578
